KIC,Prediction,Confidence_%,Period_days,Depth_ppm,Duration_hours,SDE,Rp_Rs_pred
STAR_0084,1,100.0,47.16793851172404,349.8120252088482,5.000000000000001,39.000974752790455,0.0187032624215362
STAR_0061,1,99.9,44.73288858159916,474.571167767481,5.000000000000001,56.88615099636823,0.021784654410099805
STAR_0063,1,99.88475836431226,38.94676425103297,960.1062518581924,5.000000000000001,186.0149140065321,0.030985581354207193
STAR_0083,1,99.88475836431226,38.54695645189709,958.8761606932544,5.000000000000001,68.88636688221409,0.030965725579957824
STAR_0045,1,99.88475836431226,36.75057459443111,982.57388015589,5.000000000000001,88.62989358392542,0.03134603452042842
STAR_0013,1,99.39275523464391,38.07443645248637,238.6234265595422,5.000000000000001,22.60976887774167,0.015447440777020063
STAR_0067,1,98.84937179136185,43.16111081359556,212.32433316263547,5.000000000000001,15.984921421202516,0.014571353168550802
STAR_0005,1,97.79049578592327,52.51585547282604,7128.6331258763685,5.000000000000001,228.1664796393173,0.08443123311829792
STAR_0034,1,97.21355972388301,48.8659539224117,496.8884764554915,8.0,13.226684524185648,0.022290995411948105
STAR_0075,1,92.23403183403406,55.71978582942906,165.57988792090043,6.0,17.67605850170089,0.012867784887885732
STAR_0021,1,75.30698573276399,307.0724374519776,5083.688478854073,5.000000000000001,27.42797373861145,0.07129998933277672
STAR_0051,1,74.94526275010767,321.33505228036086,11021.772757795005,5.000000000000001,16.919950338948958,0.10498463105519305
STAR_0052,1,71.57153382880203,343.7974698032144,1478.492400467082,5.5,6.81618634272751,0.0384511690390173
STAR_0028,1,71.54615132689855,65.835762383086,640.3291283983806,9.5,13.666734072832964,0.025304725416379854
STAR_0086,1,70.33488325660734,340.6137565399277,2566.849737919484,7.0,15.57575913307561,0.05066408726030189
STAR_0079,1,69.7453285388773,340.63467765543004,2001.7183333500293,8.5,16.897630823645038,0.044740566976179785
STAR_0044,1,68.86600919678398,340.6176250320837,3590.5264954097515,8.0,14.531072832569858,0.05992100212287635
STAR_0076,1,68.68566660281591,340.6137565399277,2447.2028610362217,7.0,13.501146597852156,0.04946921124332004
STAR_0073,1,67.9086848604711,336.85194672823314,1741.019075528657,8.5,13.122560834009148,0.04172552067414686
STAR_0070,1,67.64272554023589,334.8266703981948,2675.678296732069,6.500000000000001,13.419700966875052,0.051726959090324154
STAR_0066,1,67.19275003564834,167.89472013342726,441.37209567056135,8.5,2.6956507465318373,0.021008857552721933
STAR_0030,1,66.86869683421793,334.8266703981948,1962.7512470714173,7.0,13.077102211967851,0.044302948514420765
STAR_0031,1,66.26163314202296,334.81371026765424,3641.3427856517296,6.500000000000001,15.52204173961352,0.060343539717617904
STAR_0042,1,65.8102398455991,334.80990853138803,5211.1827309978125,6.500000000000001,9.434519801797336,0.07218852215551869
STAR_0032,1,64.5073647508843,174.58020897432075,512.3039705070336,7.500000000000002,2.794906290383989,0.022634132864040396
STAR_0004,1,63.91341070418824,340.6137565399277,3267.499772005573,7.0,12.763669991339016,0.05716204835382977
STAR_0020,1,62.55464837312261,107.72339338042148,541.2882060793471,10.000000000000002,2.2485932406439866,0.023265601347898728
STAR_0071,1,62.40302011219347,168.5004096178948,312.7263746272779,11.0,7.816737115605085,0.017684071211892298
STAR_0053,1,62.054347396539974,82.10655888361352,63.173144496596805,8.5,2.474563446024683,0.007948153527492835
STAR_0059,1,62.010179592051486,340.6176250320837,1717.729123093812,8.0,11.717985561031137,0.04144549581189507
